Qsubj,Reply,final_score,label,confidence,reason,student_20k_pred,student_20k_pred_name,student_20k_confidence,student_20k_prob_0,student_20k_prob_1,student_20k_prob_2,student_100k_pred,student_100k_pred_name,student_100k_confidence,student_100k_prob_0,student_100k_prob_1,student_100k_prob_2,models_disagree,student_20k_correct,student_100k_correct
公司业绩连续三年增速达到50%希望尽公布10转5的分配方案回报股东！请问公司持有agfy股份转成普通股了吗转股价是多少,您好！感谢您的建议！公司于2020年3月24日发布的相关投资公告中（公告编号2020-021）对本次优先股的转换价格作出了说明，预计可以以低于公开市场股价的价格进行转股。具体投资收益需以相关会计准则核算后在定期报告的相关财务报表中显示。感谢您的关注！,0.9325119725159222,1,0.82,投资者问两个问题：分配方案建议和优先股是否已转股及转股价。董秘未回应分配方案，对转股价仅引导查公告未给具体数字，也未明确回答是否已转股，属避重就轻、定性代替定量。,0,Direct,0.40108275413513184,0.40108275413513184,0.3133310079574585,0.28558629751205444,1,Intermediate,0.38186123967170715,0.3016078770160675,0.38186123967170715,0.31653088331222534,True,False,True
请介绍一下贵司在边缘计算方面的技术和相关业务，谢谢。,您好，感谢关注。公司专注于在以边缘计算为基础的云、边、端一体化协同技术、产品和解决方案的研究，助力三大运营商在统筹优化算力建设布局、构建数据存力体系和促进绿色零碳算力网络发展等方向打造高品质网络。,0.763848991282113,1,0.72,回答提及了边缘计算的大方向和服务对象，但未给出具体技术细节、产品名称、业务规模等实质性信息，属于定性描述代替具体介绍。,2,Evasive,0.5580676794052124,0.16157203912734985,0.28036022186279297,0.5580676794052124,1,Intermediate,0.3808392584323883,0.29902321100234985,0.3808392584323883,0.32013753056526184,True,False,True
董秘，你好，请问贵司对现在内部管理体制状况进行评价。,您好，公司拥有一批经验丰富的管理团队，经过多年的发展，公司建立起了符合自身发展要求的企业文化与管理体系。作为一家相对大体量的公司，公司能够在短短几年时间内以较强的姿态转型、并做出有效成绩，有赖于公司不断完善的内部机制，主要体现在以下几个方面：首先，公司的强中台，包括技术中台、美术中台和数据中台，积累了非常多的业内顶级技术人员，能够有效支持多个项目运转。其次，公司内部采用分层管理模式，按照各个团队的不同的发展阶段去适配相对应的管理模式，管理手段更加灵活多样，这样使得各个团队能够在公司找到适合自身发展的状态。最后，研发层面推行“研运一体“，”强调“产品为王”，加上“公式到人”的激励机制，使得大部分的员工能够清晰地知道自己的产出回报，增强员工积极性，再加上强大的中台支持及出色的长期激励机制，保证了人才的整体稳定性。同时，公司经营规模的持续扩大，对公司的内部管理不断提出更高要求。公司持续优化管理流程，不断提升管理水平，及时应对可能面临的管理风险。感谢您的关注。,0.7591207006187629,0,0.85,投资者要求对内部管理体制进行评价，董秘从中台建设、分层管理、研运一体及激励机制等多维度给出了具体的定性描述，提供了增量信息，属于直接响应。,1,Intermediate,0.42361384630203247,0.341329425573349,0.42361384630203247,0.23505672812461853,0,Direct,0.39846235513687134,0.39846235513687134,0.3571283221244812,0.24440933763980865,True,False,True
贵公司是主营燃油发动机，但全球各国都主推清洁能源机械，现在留给贵公司的燃油发动机时间不多了，请问公司有何对策？,面对新能源化的发展趋势，公司提前研判、全面布局燃料电池、混合动力及纯电动等多种技术路线，相关产品已经投放市场，产品技术指标走在行业前列。公司将继续稳固柴油机业务的龙头优势地位，并加快推进新能源业务研发、降本和商业化应用。感谢您对公司的关注！,0.9693281332094552,0,0.82,投资者核心诉求是公司面对新能源趋势的对策，董秘明确回答了布局燃料电池、混合动力、纯电动等技术路线，且提到产品已投放市场，提供了具体的定性结论。,2,Evasive,0.5236037373542786,0.03803795576095581,0.438358336687088,0.5236037373542786,1,Intermediate,0.5012538433074951,0.044507503509521484,0.5012538433074951,0.4542386531829834,True,False,False
控股股东京港投资本次涉及债务纠纷1985万，为什么被冻结2339万股，约2个多亿？,尊敬的投资者，您好！公司控股股东涉及上述相关事项与上市公司无关，对上市公司不构成实质影响，冻结股份数量系诉讼保全申请的结果，具体信息请参考公司已披露的相关公告。公司控股股东将积极协调尽快妥善处理上述事项。谢谢关注！,0.8410287694993145,1,0.82,投资者核心诉求是为何1985万债务却冻结了2亿多市值的股份，董秘未解释冻结数量与债务金额不匹配的原因，仅笼统称'系诉讼保全申请的结果'并引导看公告，回避了核心疑问。,1,Intermediate,0.551198422908783,0.31495290994644165,0.551198422908783,0.133848637342453,0,Direct,0.5171163082122803,0.5171163082122803,0.38362234830856323,0.09926130622625351,True,True,False
IDC数据显示，22年一季度国内智能手机OPPO出货量第一，1370万部，贵司之前也提到光学膜针对OPPO是独供，每个手机就算20元+吧，那就2.8亿左右了，但是贵司一季度收入也才2.88亿，这怎么回事？ 还有其他众多手机品牌和铝塑膜业务啊！是因为贵司销售收入确认要手机售出后退货期结束了才能确认收入嘛？ 如果是这样，那二季度收入会放天量啊，谢谢！,尊敬的投资者，您好。OPPO发布的第一款折叠手机FindN采用的是公司生产的折叠保护膜。公司严格按照企业会计准则的相关规定确认收入，关于业绩情况，请关注公司在指定平台披露的相关公告。,0.805030555881894,1,0.82,投资者核心诉求是解释一季度收入与OPPO出货量的矛盾及收入确认方式。董秘仅澄清了折叠膜供应范围（非全系独供），部分回应了疑问，但对收入确认方式和二季度预期用'请关注公告'推脱，避重就轻。,2,Evasive,0.5156219005584717,0.04098093882203102,0.44339719414711,0.5156219005584717,1,Intermediate,0.5988908410072327,0.03924714773893356,0.5988908410072327,0.3618619740009308,True,False,True
"贵公司的股价长期大幅低于净资产,甚至低于每股公积金。导致公司无法正常融资，只能靠贷款过日子，公司该如何发展？公司的负债率已经高达73%了，不能有效融资，公司将如何发展，如何壮大？",尊敬的投资者您好，公司目前经营持续向好，资金周转正常，融资渠道顺畅，下一步公司将优化融资安排，积极对接省地方金融监管局、湖南证监局、省财政厅、省发展改革委，寻求指导，开展多元化债券和资产支持证券融资，通过优先股、永续债、可转债、REITs等创新融资工具丰富融资手段，优化资本结构。,0.8356810062269507,1,0.78,投资者核心诉求是股价低于净资产导致无法正常融资及高负债率下如何发展。回答未回应股价破净问题，仅列举融资工具计划，属于定性描述，避重就轻，未给出具体降负债措施或量化目标。,2,Evasive,0.48132261633872986,0.0401991568505764,0.47847819328308105,0.48132261633872986,1,Intermediate,0.5885956287384033,0.044176455587148666,0.5885956287384033,0.3672279715538025,True,False,True
"方便透露一下公司2020-2021年购买的固定资产吗？								",尊敬的投资者您好，具体情况请参考公司2020年、2021年年度报告。感谢您对公司的关注。,0.8457244367752244,0,0.85,投资者询问的是财报中已披露的固定资产数据，董秘引导查阅年报属于合规性断言，信息确实在定期报告中可查，属于直接响应。,2,Evasive,0.5202966332435608,0.26580700278282166,0.21389633417129517,0.5202966332435608,0,Direct,0.6910392045974731,0.6910392045974731,0.12891070544719696,0.1800501048564911,True,False,True
请问公司是否存在美化报表，半年报货币资金足够补充流动资金，不知道上市公司明明不缺钱，为什么要非公开发行，不缺钱的企业融资，真正缺钱的企业却融不到钱，请问公司融资意义，没有好的项目？,您好！公司财务报表严格按照《企业会计准则》规定编制，年度报告均经过审计机构审计并出具标准无保留审计意见。公司严格按照《上市公司证券发行管理办法》、《上市公司非公开发行股票实施细则》（2020年修订）等规定制定非公开发行方案，中国证监会发行审核委员会于2021年10月25日对公司非公开发行股票的申请进行了审核，根据发行审核委员会的审核结果，公司本次非公开发行股票申请获得通过。随着中国经济崛起带来的民族自信及国货品牌的自我提升，优质国民品牌迎来发展机遇，结合行业发展趋势和公司实际情况，公司此次非公开发行投资建设企业数字化转型、研发中心扩建项目以及补充流动资金，是紧抓消费升级机遇，顺应市场发展趋势，积极拥抱创新，进一步提升产品品质，提升渠道覆盖率，扩大品牌影响力，对公司持续稳定发展、进一步提升市场竞争力起到良好的促进作用。而且通过本次非公开发行股票项目，吴志泽先生的持股比例及公司实际控制人控制的表决权比例均可得到提升，进一步增强了公司控制权和治理结构的稳定性，提高决策效率，促进公司长期持续发展战略的拟定与执行和公司经营稳定性；通过本次募投项目的实施，有利于增强公司线上、线下渠道的综合运营能力，提升运营效率；公司的资金实力获得进一步提升，有利于优化公司资本结构，进一步满足核心业务增长与业务战略布局需要，促进公司在行业保持领先地位，提升公司盈利能力和可持续发展能力；加强公司核心竞争能力和面临宏观经济波动的抗风险能力，促进公司的健康可持续发展，有利于公司全体股东的整体利益。谢谢！,0.5678513220826875,2,0.92,投资者核心诉求是质疑不缺钱为何融资。董秘用大量合规流程、宏观趋势和PR套话回应，未给出具体资金缺口数据或项目回报预期，属于转移话题+虚假安抚。,0,Direct,0.4991614520549774,0.4991614520549774,0.40307801961898804,0.09776056557893753,1,Intermediate,0.44596055150032043,0.3475552797317505,0.44596055150032043,0.2064841389656067,True,False,False
您好，董秘。据了解，河北安平的华融环保产业园致力于实现真正的绿色循环产业经济，提供环保，碳中和等解决方案，请问消息属实吗？,您好，华融环保产业园已处于停滞状态，公司进行战略调整，出售该部分资产或项目。感谢您的关注。,0.6614157366309888,0,0.95,投资者询问华融环保产业园情况，董秘明确回答该项目已停滞并正在出售，给出了具体的业务状态，属于直接响应。,1,Intermediate,0.5291193127632141,0.35184523463249207,0.5291193127632141,0.11903546750545502,0,Direct,0.5078733563423157,0.5078733563423157,0.395016610622406,0.09711004048585892,True,False,True
