Qsubj,Reply,final_score,label,confidence,reason,student_20k_pred,student_20k_pred_name,student_20k_confidence,student_20k_prob_0,student_20k_prob_1,student_20k_prob_2,student_100k_pred,student_100k_pred_name,student_100k_confidence,student_100k_prob_0,student_100k_prob_1,student_100k_prob_2,models_disagree,student_20k_correct,student_100k_correct
您好！截止四月九日最新股东人数多少？二季度订单情况如何？原材料涨价对公司业绩有何影响？谢谢！,您好！相关问题回答如下：1、截至2021年4月9日，公司股东人数为12667户；2、公司目前订单充足，在手订单包括了各类无菌、超洁净、洁净型灌装设备及后道包装设备，产品结构合理。3、公司设备制造耗用原材料中，钢材占比较小，其价格波动对公司成本影响较小，钢材等原材料涨价对公司业绩影响较小。谢谢！,0.6749678731979577,0,0.88,三个问题均作答：股东人数给出精确数字12667户；订单情况给出定性描述；原材料影响给出具体分析。但订单缺乏量化数据，整体仍属直接响应。,1,Intermediate,0.7616688013076782,0.21629689633846283,0.7616688013076782,0.022034283727407455,1,Intermediate,0.8308417797088623,0.14430902898311615,0.8308417797088623,0.02484925463795662,False,False,False
董秘好：请问公司参股的心康医疗和公司有什么互补吗？心康医疗有什么核心的技术？公司公告显示2023年心康医疗采购公司产品2000万元，心康医疗这么高的采购量，今年的业绩大概是多少？,尊敬的投资者，您好！公司聚焦远程健康管理，战略布局远程心电服务，心康医疗拥有创新型可穿戴心电设备以及领先的人工智能（AI）算法，拥有互联网医院远程诊断中心及专业的心电医师团队，其重点建设的“数字慢病中心”可为各级医疗机构以及个人家庭提供心血管健康与疾病诊疗的全周期“筛查、监测、诊疗、康复”医疗服务，并进一步拓宽乐心“AI+IoT”的产品业务布局，加快乐心医疗产品在慢病管理领域的应用场景拓展，积极发挥远程健康医疗领域生态协同效力。具体业绩情况烦请关注公司披露的定期报告。感谢您的关注，祝您投资顺利！,0.8679612446075765,1,0.85,回答了互补关系和核心技术（定性描述），但对投资者最关心的心康医疗业绩数据完全回避，用'关注定期报告'推脱，属于避重就轻。,2,Evasive,0.5369417071342468,0.02717454917728901,0.4358837306499481,0.5369417071342468,2,Evasive,0.6016294956207275,0.019097963348031044,0.37927255034446716,0.6016294956207275,False,False,False
公司业绩连续三年增速达到50%希望尽公布10转5的分配方案回报股东！请问公司持有agfy股份转成普通股了吗转股价是多少,您好！感谢您的建议！公司于2020年3月24日发布的相关投资公告中（公告编号2020-021）对本次优先股的转换价格作出了说明，预计可以以低于公开市场股价的价格进行转股。具体投资收益需以相关会计准则核算后在定期报告的相关财务报表中显示。感谢您的关注！,0.9325119725159222,1,0.82,投资者问两个问题：分配方案建议和优先股是否已转股及转股价。董秘未回应分配方案，对转股价仅引导查公告未给具体数字，也未明确回答是否已转股，属避重就轻、定性代替定量。,0,Direct,0.40108275413513184,0.40108275413513184,0.3133310079574585,0.28558629751205444,1,Intermediate,0.38186123967170715,0.3016078770160675,0.38186123967170715,0.31653088331222534,True,False,True
董秘你好，请问贵公司2020年度的审计师是谁，审计费用是多少？,您好，公司2020年年报审计机构是立信会计师事务所（特殊普通合伙），年度审计费用以年度董事会决议公告为准，谢谢。,0.6774587110926996,1,0.85,回答了审计师是立信会计师事务所，但对审计费用未给出具体数字，以'以公告为准'推脱，属于避重就轻、部分响应。,0,Direct,0.9162834286689758,0.9162834286689758,0.055338725447654724,0.028377801179885864,0,Direct,0.9150816202163696,0.9150816202163696,0.047410331666469574,0.037508055567741394,False,False,False
请问公司10月出栏的商品猪数量为何大幅减少？是因为没猪了吗？,您好，根据10月销售公告，公司2022年10月份销售商品猪38.56万头，环比增长4.54%。10月出栏结构变化，主要是基于以下考虑：（1）公司未来也有出售仔猪的计划，因此也在加强与中小客户的合作，目前仔猪在公司自己的养殖场各项指标较好，也希望能让客户感受到我们仔猪的健康度，进一步建立美誉度，为将来全面深化合作打基础。（2）公司近期断奶仔猪数量较多，成本下降明显，目前市场行情下仔猪销售毛利率也比较高，所以加大了部分我们觉得冬季疫情风险较高区域的仔猪销售，一方面提前回流资金，一方面也规避一定的风险。（3）育肥阶段公司也希望能做的更好。目前我们正在改造母猪场，精准通风、智能化等，以提升舒适度和安全性。育肥场也打算这么做，所以大规模育肥场投苗放缓了速度。谢谢您的关注。,0.719003579531642,0,0.9,回答给出了具体商品猪出栏数据（38.56万头、环比+4.54%），并从仔猪销售策略、成本与风险考量、育肥场改造三方面详细解释了出栏结构变化原因，提供了充分的增量信息。,1,Intermediate,0.7093226313591003,0.21838390827178955,0.7093226313591003,0.07229346036911011,1,Intermediate,0.6511649489402771,0.298186331987381,0.6511649489402771,0.050648707896471024,False,False,False
请介绍一下贵司在边缘计算方面的技术和相关业务，谢谢。,您好，感谢关注。公司专注于在以边缘计算为基础的云、边、端一体化协同技术、产品和解决方案的研究，助力三大运营商在统筹优化算力建设布局、构建数据存力体系和促进绿色零碳算力网络发展等方向打造高品质网络。,0.763848991282113,1,0.72,回答提及了边缘计算的大方向和服务对象，但未给出具体技术细节、产品名称、业务规模等实质性信息，属于定性描述代替具体介绍。,2,Evasive,0.5580676794052124,0.16157203912734985,0.28036022186279297,0.5580676794052124,1,Intermediate,0.3808392584323883,0.29902321100234985,0.3808392584323883,0.32013753056526184,True,False,True
请问截止2021年8月31日，公司股东人数为多少？为何公司不披露机构的持股数量？,投资者，您好！截止2021年8月31日，公司股东总户数为34441。公司严格按照相关法律法规履行信息披露义务。感谢您的关注与支持！,0.6575965728751058,1,0.88,回答了股东人数(34441)，但对'为何不披露机构持股数量'这一核心质疑避而不谈，属于避重就轻。,0,Direct,0.4711110591888428,0.4711110591888428,0.3604530692100525,0.16843590140342712,0,Direct,0.4462670385837555,0.4462670385837555,0.4416292607784271,0.11210373789072037,False,False,False
"方董你好,请问贵公司第二季度业绩如何?具体业务都有哪些?主营业务那些,占收入多少,芯片业务开展如何?让广大股民具体了解下贵公司",您好！第二季度具体业绩情况，请您关注公司的定期报告。感谢您的关注。,0.7338757904801436,0,0.78,投资者问的是季度业绩数据，属于定期报告披露范畴，董秘引导关注定期报告属于合规性断言，直接拒绝合理。,2,Evasive,0.882777214050293,0.013580764643847942,0.10364210605621338,0.882777214050293,2,Evasive,0.8289874196052551,0.015925249084830284,0.1550873965024948,0.8289874196052551,False,False,False
请问，关于控股股东收到中国证监会立案告知书所涉及的事项是什么时候的？此事件对公司的信用有何影响？公司计划如何修复由此对股价造成的影响？,感谢您对公司的关注，齐翔集团被证监会立案调查所涉及事项属于雪松收购其股权前发生，与雪松控股集团及上市公司无关，上市公司目前生产经营一切正常。还请投资者理性投资，注意投资风险。,0.8152547098878609,1,0.82,回答澄清了立案事项与现控股股东无关，但未回答具体涉及事项的时间、对信用的影响及股价修复计划，属避重就轻。,0,Direct,0.5039990544319153,0.5039990544319153,0.43194645643234253,0.06405442953109741,0,Direct,0.5032312273979187,0.5032312273979187,0.40568891167640686,0.09107980877161026,False,False,False
请问新成立的昊安新能源公司经营范围包含石墨材料，是指锂电池负极材料吗？是否有新建相关产能规划？,尊敬的投资者您好！吉林省昊安新能源科技有限责任公司为致远新能的新设全资子公司，目前暂未开始运营。感谢您的关注。,0.7257860848948142,1,0.85,投资者问两个核心问题：石墨材料是否指负极材料、是否有产能规划。董秘仅说明子公司尚未运营，未回答石墨材料具体指向及产能规划，避重就轻。,0,Direct,0.9225166440010071,0.9225166440010071,0.06579562276601791,0.011687811464071274,0,Direct,0.92383873462677,0.92383873462677,0.06513573974370956,0.011025596410036087,False,False,False
